product_id,product_name,category,subcategory,cost_price,profit,selling_price
P00001,Kickboard,Sports,Swimming,1495,433.25,1928.25
P00002,Flower Vase,Home,Decor,3944,1262.96,5206.96
P00003,Denim Jacket,Clothing,Jacket,3891,1503.83,5394.83
P00004,Mattress Protector,Home,Bedding,1884,436.56,2320.56
P00005,Eau de Parfum,Beauty,Fragrance,724,291.75,1015.75
P00006,Pillow,Home,Bedding,1675,367.78,2042.78
P00007,Loafers,Clothing,Shoes,2528,526.74,3054.74
P00008,Leather Jacket,Clothing,Jacket,7810,1738.92,9548.92
P00009,AirPods Pro,Electronics,Headphones,12233,3191.87,15424.87
P00010,Eyeliner,Beauty,Makeup,2439,751.29,3190.29
P00011,Kickboard,Sports,Swimming,2653,686.22,3339.22
P00012,Blanket,Home,Bedding,1721,461.94,2182.94
P00013,Mattress Protector,Home,Bedding,5498,1776.89,7274.89
P00014,Football Boots,Sports,Football,2381,803.66,3184.66
P00015,Stumps,Sports,Cricket,7363,2204.95,9567.95
P00016,Foundation,Beauty,Makeup,1063,362.92,1425.92
P00017,Night Cream,Beauty,Skincare,2262,658.96,2920.96
P00018,iPhone 15,Electronics,Smartphone,14027,2424.26,16451.26
P00019,Slim Fit Jeans,Clothing,Jeans,1091,331.59,1422.59
P00020,Microsoft Surface Go,Electronics,Tablet,13561,2085.27,15646.27
P00021,Sony WH-1000XM5,Electronics,Headphones,5104,1085.68,6189.68
P00022,Hair Serum,Beauty,Haircare,2045,623.61,2668.61
P00023,Linen Shirt,Clothing,Shirt,3160,1399.65,4559.65
P00024,Oxford Shirt,Clothing,Shirt,3789,981.34,4770.34
P00025,Casual Shirt,Clothing,Shirt,3439,780.56,4219.56
P00026,Sennheiser HD 450BT,Electronics,Headphones,14383,4877.32,19260.32
P00027,Hand Cream,Beauty,Personal Care,640,157.29,797.29
P00028,Skinny Jeans,Clothing,Jeans,3325,951.42,4276.42
P00029,Amazfit GTR 4,Electronics,Smartwatch,17931,3796.3,21727.3
P00030,V-Neck T-Shirt,Clothing,T-Shirt,1796,473.43,2269.43
P00031,iPhone 15,Electronics,Smartphone,13306,2619.68,15925.68
P00032,Swimming Goggles,Sports,Swimming,1682,338.15,2020.15
P00033,Oxford Shirt,Clothing,Shirt,3796,872.95,4668.95
P00034,Dumbbells,Sports,Gym,4063,1108.09,5171.09
P00035,ASUS VivoBook,Electronics,Laptop,37675,7548.43,45223.43
P00036,Wall Clock,Home,Decor,2136,548.88,2684.88
P00037,iPad Air,Electronics,Tablet,38673,6783.32,45456.32
